Reference_ID,Source_Citation,Substrate_Matrix,H2S_Concentration_ppm,Exposure_Time_min,Calculated_Dose_ppm_h,Observed_Color_Transition,Reported_Detection_Range,Measurement_Method,Experimental_Notes
LIT-REF-01,"Thongboon et al., ACS Omega 2023, 8 (20), 18012–18021. DOI: 10.1021/acsomega.3c01529",Pineapple-leaf-derived regenerated cellulose (RC) sheet functionalized with Cu-PAN,0.00,0,0.00,Initial pristine state: Deep Purple / Violet,"0.4 – 200 ppm (LOD ~0.4 ppm visual, ~0.1 ppm digital RGB)",Smartphone camera RGB color extraction and UV-Vis spectrophotometry,Unreacted Cu(II)-PAN complex in neutral cellulose matrix. Absorbance maximum at ~550 nm.
LIT-REF-02,"Thongboon et al., ACS Omega 2023, 8 (20), 18012–18021. DOI: 10.1021/acsomega.3c01529",Pineapple-leaf-derived regenerated cellulose (RC) sheet functionalized with Cu-PAN,10.00,5,0.83,Purple to light reddish-purple (onset of New York pink),0.4 – 200 ppm,Smartphone camera RGB color extraction,Initial cleavage of Cu-PAN coordination bond; sulfide ions displace Cu2+ forming CuS nanoparticles and releasing free H-PAN.
LIT-REF-03,"Thongboon et al., ACS Omega 2023, 8 (20), 18012–18021. DOI: 10.1021/acsomega.3c01529",Pineapple-leaf-derived regenerated cellulose (RC) sheet functionalized with Cu-PAN,25.00,10,4.17,Purple transitioning to 'New York pink' / intermediate red,0.4 – 200 ppm,RGB colorimetry (Red/Green/Blue intensity shift),Distinct visible 'New York pink' hue due to mixture of unreacted purple Cu-PAN and released yellow H-PAN with CuS dispersion.
LIT-REF-04,"Thongboon et al., ACS Omega 2023, 8 (20), 18012–18021. DOI: 10.1021/acsomega.3c01529",Pineapple-leaf-derived regenerated cellulose (RC) sheet functionalized with Cu-PAN,50.00,15,12.50,New York pink transitioning to orange-yellow,0.4 – 200 ppm,Smartphone camera digital imaging and UV-Vis spectrophotometry,High displacement fraction; spectral peak shifts markedly from 550 nm (Cu-PAN) toward 470 nm (free H-PAN).
LIT-REF-05,"Thongboon et al., ACS Omega 2023, 8 (20), 18012–18021. DOI: 10.1021/acsomega.3c01529",Pineapple-leaf-derived regenerated cellulose (RC) sheet functionalized with Cu-PAN,100.00,20,33.33,Full transition to bright yellow-orange,0.4 – 200 ppm,Smartphone camera digital imaging,Complete demetallation of Cu(II)-PAN complex; saturated optical response dominated by free neutral H-PAN dye.
LIT-REF-06,"Wang et al., Sensors and Actuators B: Chemical 2022, 371, 132533. DOI: 10.1016/j.snb.2022.132533",Agarose hydrogel disk modified with Cu(II)-PAN chelate complex,0.00,0,0.00,Initial pristine state: Uniform Dark Purple / Violet,1.0 – 50.0 ppm (LOD 0.3 ppm),UV-Vis spectrophotometry (A555/A465) and digital camera RGB imaging,Cu-PAN immobilized in porous 3D hydrogel network. Characteristic absorbance peak at 555 nm.
LIT-REF-07,"Wang et al., Sensors and Actuators B: Chemical 2022, 371, 132533. DOI: 10.1016/j.snb.2022.132533",Agarose hydrogel disk modified with Cu(II)-PAN chelate complex,1.00,5,0.08,Subtle color shift from dark purple toward reddish-violet,1.0 – 50.0 ppm,UV-Vis spectrophotometry and smartphone color analysis,"Detection in humid gas stream (simulating human exhaled breath). Excellent selectivity against NH3, acetone, ethanol, and CO."
LIT-REF-08,"Wang et al., Sensors and Actuators B: Chemical 2022, 371, 132533. DOI: 10.1016/j.snb.2022.132533",Agarose hydrogel disk modified with Cu(II)-PAN chelate complex,5.00,5,0.42,Purple to reddish-pink / intermediate magenta,1.0 – 50.0 ppm,UV-Vis spectrophotometry (Delta A555),Clear intermediate stage; absorbance at 555 nm decreases linearly while 465 nm absorption band grows.
LIT-REF-09,"Wang et al., Sensors and Actuators B: Chemical 2022, 371, 132533. DOI: 10.1016/j.snb.2022.132533",Agarose hydrogel disk modified with Cu(II)-PAN chelate complex,20.00,5,1.67,Reddish-pink transitioning into orange-yellow,1.0 – 50.0 ppm,Color analysis via smartphone application,Significant sulfide complexation with Cu2+ (log Ksp CuS ~ -35.2). Rapid response within 3-5 minutes.
LIT-REF-10,"Wang et al., Sensors and Actuators B: Chemical 2022, 371, 132533. DOI: 10.1016/j.snb.2022.132533",Agarose hydrogel disk modified with Cu(II)-PAN chelate complex,50.00,10,8.33,Complete transformation to yellow,1.0 – 50.0 ppm,UV-Vis spectrophotometer and visual inspection,Near-total displacement of copper ions. Hydrogel disk turns vivid yellow; absorbance at 465 nm peaks.
LIT-REF-11,"Carpenter, Rosolina, Xue, Sens. Actuators B Chem. 2017, 253, 846–851 & metal-PAN dosimeter literature",Porous cellulosic filter paper test strip loaded with Cu(II)-PAN,0.10,60,0.10,Violet-purple with perceptible lightening at strip edge,0.03 – 25.0 ppm (sub-ppm dosimetric capability),Diffuse reflectance spectroscopy / Flatbed optical scanner,Low-level cumulative exposure in 60-min continuous passive diffusion test. Validates dosimetric accumulation (C x t).
LIT-REF-12,"Carpenter, Rosolina, Xue, Sens. Actuators B Chem. 2017, 253, 846–851 & metal-PAN dosimeter literature",Porous cellulosic filter paper test strip loaded with Cu(II)-PAN,0.50,120,1.00,Purple to reddish-pink / intermediate amber,0.03 – 25.0 ppm,Flatbed optical scanning and CIE color analysis,Simulates workplace 2-hour cumulative exposure at 0.5 ppm action level. Clear visual differentiation from virgin purple strip.
