Sample_ID,Target_Dose_ppm_h,H2S_Concentration_ppm,Exposure_Time_h,Temperature_C,Relative_Humidity_pct,Shelf_Age_days,CIE_Lab_Coordinates,Delta_E_CIE76,Expiry_Status,Action_Flag
CP-001,0.0,0.0,1.0,33,33,36,"40.6, 26.6, -22.5",0.8,Fresh (Active),Clean / Safe (Unexposed Baseline)
CP-002,0.0,0.0,0.5,20,53,4,"39.6, 26.1, -21.4",1.1,Fresh (Active),Clean / Safe (Unexposed Baseline)
CP-003,0.0,0.0,4.0,19,42,70,"40.6, 26.5, -22.0",0.5,Fresh (Active),Clean / Safe (Unexposed Baseline)
CP-004,0.0,0.0,2.0,37,67,44,"40.5, 26.6, -20.9",1.2,Fresh (Active),Clean / Safe (Unexposed Baseline)
CP-005,0.0,0.0,2.0,26,37,13,"40.9, 25.6, -21.7",0.6,Fresh (Active),Clean / Safe (Unexposed Baseline)
CP-006,0.0,0.0,0.5,31,81,49,"39.8, 25.3, -22.3",1.0,Fresh (Active),Clean / Safe (Unexposed Baseline)
CP-007,0.0,0.0,1.0,33,75,74,"40.5, 25.9, -21.9",0.1,Fresh (Active),Clean / Safe (Unexposed Baseline)
CP-008,0.0,0.0,4.0,20,44,13,"40.9, 25.9, -21.2",0.9,Fresh (Active),Clean / Safe (Unexposed Baseline)
CP-009,0.0,0.0,8.0,27,50,27,"40.4, 26.9, -22.5",1.0,Fresh (Active),Clean / Safe (Unexposed Baseline)
CP-010,0.0,0.0,4.0,22,68,21,"40.0, 25.1, -20.9",1.5,Fresh (Active),Clean / Safe (Unexposed Baseline)
CP-011,0.0,0.0,0.5,33,60,42,"40.5, 26.1, -22.2",0.2,Fresh (Active),Clean / Safe (Unexposed Baseline)
CP-012,0.0,0.0,1.0,23,79,41,"40.8, 25.8, -22.5",0.6,Fresh (Active),Clean / Safe (Unexposed Baseline)
CP-013,0.0,0.0,1.0,40,55,34,"40.5, 26.5, -22.1",0.5,Fresh (Active),Clean / Safe (Unexposed Baseline)
CP-014,0.0,0.0,1.0,40,52,29,"41.1, 25.8, -22.0",0.6,Fresh (Active),Clean / Safe (Unexposed Baseline)
CP-015,0.0,0.0,8.0,19,38,21,"40.4, 26.1, -23.3",1.3,Fresh (Active),Clean / Safe (Unexposed Baseline)
CP-016,0.27,0.05,5.3,40,54,71,"45.4, 30.3, -12.3",11.7,Fresh (Active),Clean / Safe (Trace Baseline)
CP-017,0.3,0.09,3.4,24,52,62,"45.8, 30.6, -13.1",11.3,Fresh (Active),Clean / Safe (Trace Baseline)
CP-018,0.15,0.08,1.9,42,45,59,"44.3, 28.9, -15.9",7.8,Fresh (Active),Clean / Safe (Trace Baseline)
CP-019,0.09,0.05,1.7,19,56,68,"42.3, 26.9, -19.5",3.2,Fresh (Active),Clean / Safe (Trace Baseline)
CP-020,0.32,0.12,2.7,24,38,73,"45.3, 30.0, -15.2",9.2,Fresh (Active),Clean / Safe (Trace Baseline)
CP-021,0.24,0.19,1.3,42,36,28,"45.3, 29.7, -14.0",10.0,Fresh (Active),Clean / Safe (Trace Baseline)
