Sample_ID,H2S_Concentration_ppm,Exposure_Time_h,Target_Dose_ppm_h,Temperature_C,Relative_Humidity_pct,Shelf_Age_days,Sensor_Chemistry,Visual_Stage,L_star,a_star,b_star,Delta_E_CIE76,Prototype_Severity_Class,Data_Status,Data_Origin,Underlying_Model,Literature_Anchor,Synthetic_Flag
CP-001,0.00,1.00,0.000,33.3,33.3,36,Ag/Cu Dual-Zone,Stage 1: Fresh Unexposed (Deep Purple / Violet),40.6,26.6,-22.5,0.79,NORMAL,SYNTHETIC / LITERATURE-INFORMED — NOT LAB CALIBRATED,SYNTHETIC_SIMULATION_V2,Empirical Two-Chromophore Ag/Cu Dual-Zone Displacer + Sensor Scatter Noise,"Thongboon et al. 2023 / Wang et al. 2022 (Pristine Ag/Cu Dual-Zone, λmax ~550 nm)",TRUE (MODELED DATA)
CP-002,0.00,0.50,0.000,20.1,53.1,4,Ag/Cu Dual-Zone,Stage 1: Fresh Unexposed (Deep Purple / Violet),39.6,26.1,-21.4,1.09,NORMAL,SYNTHETIC / LITERATURE-INFORMED — NOT LAB CALIBRATED,SYNTHETIC_SIMULATION_V2,Empirical Two-Chromophore Ag/Cu Dual-Zone Displacer + Sensor Scatter Noise,"Thongboon et al. 2023 / Wang et al. 2022 (Pristine Ag/Cu Dual-Zone, λmax ~550 nm)",TRUE (MODELED DATA)
CP-003,0.00,4.00,0.000,18.6,41.9,70,Ag/Cu Dual-Zone,Stage 1: Fresh Unexposed (Deep Purple / Violet),40.6,26.5,-22.0,0.51,NORMAL,SYNTHETIC / LITERATURE-INFORMED — NOT LAB CALIBRATED,SYNTHETIC_SIMULATION_V2,Empirical Two-Chromophore Ag/Cu Dual-Zone Displacer + Sensor Scatter Noise,"Thongboon et al. 2023 / Wang et al. 2022 (Pristine Ag/Cu Dual-Zone, λmax ~550 nm)",TRUE (MODELED DATA)
CP-004,0.00,2.00,0.000,37.3,66.9,44,Ag/Cu Dual-Zone,Stage 1: Fresh Unexposed (Deep Purple / Violet),40.5,26.6,-20.9,1.25,NORMAL,SYNTHETIC / LITERATURE-INFORMED — NOT LAB CALIBRATED,SYNTHETIC_SIMULATION_V2,Empirical Two-Chromophore Ag/Cu Dual-Zone Displacer + Sensor Scatter Noise,"Thongboon et al. 2023 / Wang et al. 2022 (Pristine Ag/Cu Dual-Zone, λmax ~550 nm)",TRUE (MODELED DATA)
CP-005,0.00,2.00,0.000,26.1,36.6,13,Ag/Cu Dual-Zone,Stage 1: Fresh Unexposed (Deep Purple / Violet),40.9,25.6,-21.7,0.64,NORMAL,SYNTHETIC / LITERATURE-INFORMED — NOT LAB CALIBRATED,SYNTHETIC_SIMULATION_V2,Empirical Two-Chromophore Ag/Cu Dual-Zone Displacer + Sensor Scatter Noise,"Thongboon et al. 2023 / Wang et al. 2022 (Pristine Ag/Cu Dual-Zone, λmax ~550 nm)",TRUE (MODELED DATA)
CP-006,0.00,0.50,0.000,30.9,80.7,49,Ag/Cu Dual-Zone,Stage 1: Fresh Unexposed (Deep Purple / Violet),39.8,25.3,-22.3,1.03,NORMAL,SYNTHETIC / LITERATURE-INFORMED — NOT LAB CALIBRATED,SYNTHETIC_SIMULATION_V2,Empirical Two-Chromophore Ag/Cu Dual-Zone Displacer + Sensor Scatter Noise,"Thongboon et al. 2023 / Wang et al. 2022 (Pristine Ag/Cu Dual-Zone, λmax ~550 nm)",TRUE (MODELED DATA)
CP-007,0.00,1.00,0.000,32.8,75.1,74,Ag/Cu Dual-Zone,Stage 1: Fresh Unexposed (Deep Purple / Violet),40.5,25.9,-21.9,0.14,NORMAL,SYNTHETIC / LITERATURE-INFORMED — NOT LAB CALIBRATED,SYNTHETIC_SIMULATION_V2,Empirical Two-Chromophore Ag/Cu Dual-Zone Displacer + Sensor Scatter Noise,"Thongboon et al. 2023 / Wang et al. 2022 (Pristine Ag/Cu Dual-Zone, λmax ~550 nm)",TRUE (MODELED DATA)
CP-008,0.00,4.00,0.000,19.9,43.6,13,Ag/Cu Dual-Zone,Stage 1: Fresh Unexposed (Deep Purple / Violet),40.9,25.9,-21.2,0.90,NORMAL,SYNTHETIC / LITERATURE-INFORMED — NOT LAB CALIBRATED,SYNTHETIC_SIMULATION_V2,Empirical Two-Chromophore Ag/Cu Dual-Zone Displacer + Sensor Scatter Noise,"Thongboon et al. 2023 / Wang et al. 2022 (Pristine Ag/Cu Dual-Zone, λmax ~550 nm)",TRUE (MODELED DATA)
CP-009,0.00,8.00,0.000,26.8,50.5,27,Ag/Cu Dual-Zone,Stage 1: Fresh Unexposed (Deep Purple / Violet),40.4,26.9,-22.5,1.03,NORMAL,SYNTHETIC / LITERATURE-INFORMED — NOT LAB CALIBRATED,SYNTHETIC_SIMULATION_V2,Empirical Two-Chromophore Ag/Cu Dual-Zone Displacer + Sensor Scatter Noise,"Thongboon et al. 2023 / Wang et al. 2022 (Pristine Ag/Cu Dual-Zone, λmax ~550 nm)",TRUE (MODELED DATA)
CP-010,0.00,4.00,0.000,22.1,68.5,21,Ag/Cu Dual-Zone,Stage 1: Fresh Unexposed (Deep Purple / Violet),40.0,25.1,-20.9,1.51,NORMAL,SYNTHETIC / LITERATURE-INFORMED — NOT LAB CALIBRATED,SYNTHETIC_SIMULATION_V2,Empirical Two-Chromophore Ag/Cu Dual-Zone Displacer + Sensor Scatter Noise,"Thongboon et al. 2023 / Wang et al. 2022 (Pristine Ag/Cu Dual-Zone, λmax ~550 nm)",TRUE (MODELED DATA)
