sample_id,block,replicate,h2s_ppm,duration_h,exposure_profile,true_dose_ppmh,temp_C,rh_pct,sealed_pouch,strip_age_days,light_klux_h,uv_film,read_delay_h,interferent,agZone_L,agZone_a,agZone_b,agZone_R,agZone_G,agZone_B,agZone_dE,agZone_frac,cuZone_L,cuZone_a,cuZone_b,cuZone_R,cuZone_G,cuZone_B,cuZone_dE,cuZone_frac,ctrl_patch_frac,seal_dot,est_agZone_ppmh,est_cuZone_ppmh,est_dose_ppmh,ci95_low,ci95_high,est_error_pct,qa_flag,data_type
SIM-0001,A_core,1,0.25,0.5,constant,0.125,25.0,50.0,True,0,0.0,True,0,none,93.2,-0.55,3.34,237,236,229,1.03,0.012,82.63,-7.59,-14.21,174,211,232,0.77,-0.0095,-0.0037,WHITE (intact),,,0.0,0.0,0.297,-100.0,BELOW_LOQ,SIMULATED
SIM-0002,A_core,2,0.25,0.5,constant,0.125,25.0,50.0,True,0,0.0,True,0,none,92.9,-0.17,2.2,236,235,230,1.37,0.0163,81.82,-7.68,-13.71,172,209,229,0.47,0.006,0.0057,WHITE (intact),,,0.0,0.0,0.297,-100.0,BELOW_LOQ,SIMULATED
SIM-0003,A_core,3,0.25,0.5,constant,0.125,25.0,50.0,True,0,0.0,True,0,none,93.53,-0.42,3.75,239,236,229,0.98,0.0071,81.82,-7.75,-13.22,173,209,228,0.84,0.0091,-0.0138,WHITE (intact),,,0.0,0.0,0.297,-100.0,BELOW_LOQ,SIMULATED
SIM-0004,A_core,1,0.25,1.0,constant,0.25,25.0,50.0,True,0,0.0,True,0,none,91.11,-0.43,2.54,231,230,225,2.96,0.0435,82.22,-7.62,-13.82,173,210,230,0.48,-0.0008,0.0064,WHITE (intact),0.254,,0.254,0.088,0.42,1.6,OK,SIMULATED
SIM-0005,A_core,2,0.25,1.0,constant,0.25,25.0,50.0,True,0,0.0,True,0,none,92.09,0.29,3.15,236,232,226,1.94,0.0291,82.58,-8.48,-14.05,172,211,231,0.76,-0.0109,0.0048,WHITE (intact),0.164,,0.164,0.001,0.327,-34.3,OK,SIMULATED
SIM-0006,A_core,3,0.25,1.0,constant,0.25,25.0,50.0,True,0,0.0,True,0,none,91.44,0.49,2.84,234,230,225,2.61,0.039,81.27,-7.85,-12.83,172,207,225,1.39,0.0199,-0.0021,WHITE (intact),0.265,,0.265,0.098,0.432,6.0,OK,SIMULATED
SIM-0007,A_core,1,0.25,2.0,constant,0.5,25.0,50.0,True,0,0.0,True,0,none,89.44,-0.56,2.75,226,225,220,4.6,0.0686,81.43,-7.74,-13.77,171,208,228,0.66,0.0111,-0.0068,WHITE (intact),0.474,,0.474,0.298,0.65,-5.2,OK,SIMULATED
SIM-0008,A_core,2,0.25,2.0,constant,0.5,25.0,50.0,True,0,0.0,True,0,none,89.43,-0.44,4.11,227,225,217,4.72,0.0692,81.85,-8.92,-13.34,170,210,228,1.14,0.0037,-0.0014,WHITE (intact),0.478,,0.478,0.301,0.654,-4.5,OK,SIMULATED
SIM-0009,A_core,3,0.25,2.0,constant,0.5,25.0,50.0,True,0,0.0,True,0,none,89.28,-0.0,2.84,227,224,219,4.73,0.0714,80.91,-8.1,-14.03,168,207,227,1.1,0.0161,0.0107,WHITE (intact),0.422,,0.422,0.249,0.596,-15.5,OK,SIMULATED
SIM-0010,A_core,1,0.25,4.0,constant,1.0,25.0,50.0,True,0,0.0,True,0,none,84.99,0.45,3.7,216,212,205,9.04,0.1367,80.53,-7.78,-14.02,168,205,225,1.48,0.0229,-0.0073,WHITE (intact),0.98,,0.98,0.773,1.187,-2.0,OK,SIMULATED
